"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:41,0","4:41,0","1,00","4:41","4:55","132","140","0","20","380","4.75","451","5.63","174","231","49,9% L / 50,1% P","1,22","10,2","8,3","68","26,0","4:27","177","4:41,0","4:41","",""
"2","6:04,3","10:45","1,00","6:04","5:18","143","152","45","1","410","5.12","520","6.49","171","266","50,0% L / 50,0% P","0,97","9,0","9,1","91","24,0","4:33","176","6:04","6:04","",""
"3","7:23,4","18:09","1,00","7:23","5:38","144","150","82","0","386","4.82","464","5.79","166","293","50,0% L / 50,0% P","0,82","8,1","9,7","106","24,0","6:01","173","7:23","7:23","",""
"4","5:07,8","23:17","1,00","5:08","5:11","142","150","20","49","351","4.38","421","5.26","172","243","50,3% L / 49,7% P","1,09","9,5","8,9","75","22,0","3:39","182","5:07,8","5:08","",""
"5","4:07,0","27:24","1,00","4:07","4:30","143","148","0","80","326","4.07","375","4.68","176","211","50,5% L / 49,5% P","1,39","10,3","7,1","65","20,0","3:39","181","4:07","4:07","",""
"6","6:44,0","34:08","1,00","6:44","5:38","148","153","56","1","384","4.80","465","5.81","169","278","50,1% L / 49,9% P","0,89","8,5","9,5","98","22,0","4:16","179","6:44,0","6:44","",""
"7","7:26,2","41:34","1,00","7:26","5:54","148","151","75","0","374","4.67","430","5.37","167","291","50,2% L / 49,8% P","0,79","8,1","10,0","103","22,0","6:05","173","7:26","7:26","",""
"8","4:11,6","45:45","1,00","4:12","4:37","146","151","0","81","324","4.05","450","5.62","177","215","50,2% L / 49,8% P","1,34","10,2","7,5","64","20,0","3:32","180","4:11,6","4:12","",""
"9","4:13,1","49:58","1,00","4:13","4:38","147","159","0","60","345","4.31","404","5.04","178","210","50,3% L / 49,7% P","1,33","10,1","7,4","64","20,0","4:04","181","4:13","4:13","",""
"10","5:20,4","55:19","1,00","5:20","5:13","147","159","13","8","392","4.90","461","5.76","172","245","50,3% L / 49,7% P","1,10","9,9","8,8","79","20,0","4:08","176","5:20","5:20","",""
"11","1:41,0","57:00","0,30","5:36","5:19","146","149","6","0","395","4.93","443","5.53","172","252","50,0% L / 50,0% P","1,04","9,9","9,2","24","21,0","5:28","174","1:40","5:33","",""
"Podsumowanie","57:00","57:00","10,30","5:32","5:13","144","159","297","299","372","4.65","520","6.49","171","255","50,2% L / 49,8% P","1,05","9,2","8,8","835","22,1","3:32","182","56:57","5:32","",""
