"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 4","16:24","16:24","3,09","5:18","5:20","131","143","25","58","173","250","50,2% L / 49,8% P","1,09","9,8","8,9","374","370","4.62","485","6.06","228","16,0","4:24","178","16:20","5:17"
"","1","Bieg","5","2:00","18:24","0,48","4:08","3:43","159","171","22","0","191","209","49,8% L / 50,2% P","1,29","8,3","6,3","544","555","6.93","642","8.02","35","13,0","3:24","201","1:59","4:06"
"","","Regeneracja","6","3:30,6","21:54","0,55","6:20","6:33","132","172","4","27","163","282","49,5% L / 50,5% P","0,96","10,2","10,4","362","303","3.78","636","7.94","43","13,0","4:43","188","3:30","6:19"
"","2","Bieg","7","2:00","23:54","0,47","4:15","3:57","154","170","19","0","189","211","50,3% L / 49,7% P","1,24","8,4","6,7","509","521","6.51","582","7.27","34","12,0","4:02","193","1:59","4:13"
"","","Regeneracja","8","3:31,4","27:26","0,51","6:56","6:59","132","170","1","22","162","290","49,9% L / 50,1% P","0,91","10,0","10,9","346","292","3.65","617","7.70","42","12,0","4:22","191","3:30","6:53"
"","3","Bieg","9","2:00","29:26","0,46","4:18","4:02","154","170","17","0","188","215","50,4% L / 49,6% P","1,24","8,5","6,8","505","516","6.44","577","7.21","35","11,0","4:00","193","1:59","4:16"
"","","Regeneracja","10","3:30,8","32:56","0,50","6:58","7:08","132","171","2","20","163","291","50,0% L / 50,0% P","0,89","9,8","10,9","339","288","3.60","617","7.70","40","11,0","4:25","193","3:30","6:57"
"","4","Bieg","11","2:00","34:56","0,47","4:13","4:08","157","171","19","1","191","212","50,5% L / 49,5% P","1,21","8,2","6,7","499","504","6.29","584","7.29","34","11,0","4:06","194","1:59","4:11"
"","","Regeneracja","12","3:30,5","38:27","0,50","7:04","7:04","131","171","2","20","163","292","49,8% L / 50,2% P","0,89","9,7","10,8","344","288","3.60","660","8.24","39","11,0","4:19","191","3:29","7:01"
"","5","Bieg","13","2:00","40:27","0,47","4:15","3:53","155","170","16","0","190","214","50,7% L / 49,3% P","1,24","8,2","6,6","517","526","6.57","582","7.27","35","11,0","3:59","193","1:59","4:13"
"","","Regeneracja","14","3:30,4","43:57","0,50","7:03","7:10","130","172","3","20","163","292","49,9% L / 50,1% P","0,89","9,7","10,8","341","284","3.55","624","7.79","38","11,0","4:22","194","3:30","7:02"
"","6","Bieg","15","2:00","45:57","0,47","4:15","4:00","152","169","19","0","188","213","50,5% L / 49,5% P","1,21","8,4","6,9","505","519","6.48","570","7.12","34","10,0","4:02","193","1:59","4:13"
"","","Regeneracja","16","3:30,7","49:28","0,48","7:17","7:20","130","169","2","19","162","298","49,8% L / 50,3% P","0,87","9,5","10,9","343","279","3.48","635","7.93","37","10,0","4:14","192","3:29","7:14"
"","7","Bieg","17","2:00","51:28","0,46","4:19","4:03","154","168","17","0","188","216","50,4% L / 49,6% P","1,18","8,3","7,0","502","511","6.38","589","7.36","34","10,0","4:10","193","2:00","4:19"
"","","Regeneracja","18","3:31,3","54:59","0,51","6:55","6:50","131","169","2","22","165","286","49,9% L / 50,1% P","0,91","9,7","10,4","347","293","3.66","638","7.97","39","10,0","4:18","193","3:30","6:52"
"","8","Bieg","19","2:00","56:59","0,47","4:15","4:03","154","169","19","0","189","213","50,4% L / 49,6% P","1,23","8,3","6,8","503","513","6.41","578","7.22","34","10,0","4:01","194","1:59","4:13"
"","","Regeneracja","20","3:30,9","1:00:30","0,50","6:59","7:07","129","170","2","20","163","292","49,8% L / 50,3% P","0,89","9,6","10,6","338","286","3.57","623","7.78","38","10,0","4:22","191","3:30","6:57"
"","9","Bieg","21","2:00","1:02:30","0,48","4:10","3:51","150","171","19","0","192","212","50,4% L / 49,6% P","1,23","8,1","6,6","526","537","6.71","599","7.48","36","10,0","3:58","195","1:59","4:08"
"","","Regeneracja","22 - 24","15:15","1:17:45","2,60","5:51","5:43","136","171","38","30","174","259","50,2% L / 49,8% P","0,98","9,3","9,3","370","358","4.47","609","7.60","200","9,0","4:19","192","15:15","5:51"
"","Podsumowanie","--","--","1:17:45","1:17:45","14,01","5:33","5:26","137","172","254","261","173","257","50,1% L / 49,9% P","1,03","9,4","9,1","413","374","4.67","660","8.24","1.055","11,7","3:24","201","1:17:40","5:33"
