"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","3:56,5","3:56,5","1,00","3:57","3:55","157","166","7","2","495","6.18","583","7.28","180","207","50,0% L / 50,0% P","1,41","10,3","7,2","67","20,0","3:35","190","3:56,5","3:57","--","--"
"2","5:13,2","9:09,7","1,00","5:13","4:24","168","171","57","0","495","6.18","560","6.99","177","241","50,6% L / 49,4% P","1,09","9,3","8,4","92","18,0","4:01","189","5:13","5:13","--","--"
"3","5:31,3","14:41","1,00","5:31","4:33","168","172","62","0","479","5.98","553","6.90","176","247","51,0% L / 49,0% P","1,03","9,1","8,7","96","17,0","4:47","178","5:31","5:31","--","--"
"4","4:13,2","18:54","1,00","4:13","4:12","165","170","13","24","443","5.53","563","7.03","179","215","50,7% L / 49,3% P","1,33","10,0","7,3","73","16,0","3:35","183","4:13","4:13","--","--"
"5","4:23,9","23:18","1,00","4:24","4:20","167","170","11","3","447","5.58","573","7.15","180","221","50,1% L / 49,9% P","1,26","9,6","7,4","77","15,0","4:14","185","4:23,9","4:24","--","--"
"6","3:42,7","27:01","1,00","3:43","4:06","165","170","2","72","375","4.68","492","6.14","180","212","50,3% L / 49,7% P","1,45","9,9","6,7","66","15,0","2:59","197","3:42,7","3:43","--","--"
"7","3:57,1","30:58","1,00","3:57","4:01","166","169","0","21","422","5.27","480","5.99","182","209","49,8% L / 50,2% P","1,42","9,7","6,6","69","14,0","3:11","185","3:57","3:57","--","--"
"8","4:03,9","35:02","1,00","4:04","4:09","167","169","0","10","440","5.49","461","5.75","183","210","49,7% L / 50,3% P","1,35","9,5","6,8","72","15,0","3:55","185","4:03,9","4:04","--","--"
"9","6:02,2","41:04","1,00","6:02","4:26","170","174","86","1","477","5.95","551","6.88","175","263","50,8% L / 49,2% P","0,96","8,2","8,5","104","15,0","4:04","184","6:02","6:02","--","--"
"10","4:25,9","45:30","1,00","4:26","4:30","167","172","15","33","407","5.08","487","6.08","179","226","50,8% L / 49,2% P","1,23","9,3","7,5","77","15,0","3:23","183","4:25,9","4:26","--","--"
"11","3:26,9","48:57","1,00","3:27","3:42","167","171","0","69","377","4.71","505","6.30","182","197","50,9% L / 49,1% P","1,62","9,8","5,8","62","14,0","3:05","185","3:26,9","3:27","--","--"
"12","3:05,0","52:02","0,83","3:43","3:50","170","175","0","16","450","5.62","514","6.42","185","202","50,3% L / 49,7% P","1,46","9,3","6,1","56","14,0","3:30","193","3:04","3:42","--","--"
"Podsumowanie","52:02","52:02","11,83","4:24","4:12","167","175","253","251","447","5.58","583","7.28","179","224","50,5% L / 49,5% P","1,27","9,4","7,4","912","15,8","2:59","197","52:00","4:24","--","--"
