"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:20,1","4:20,1","1,00","4:20","4:10","160","168","19","0","492","6.14","573","7.15","178","227","50,2% L / 49,8% P","1,30","10,2","7,7","72","17,0","3:39","187","4:20","4:20","--","--"
"2","4:31,7","8:51,8","1,00","4:32","4:17","167","173","24","0","482","6.02","530","6.61","178","233","50,7% L / 49,3% P","1,24","9,8","7,6","79","15,0","4:27","180","4:31,7","4:32","--","--"
"3","6:49,5","15:41","1,00","6:50","4:41","170","174","100","0","465","5.80","545","6.80","165","286","50,7% L / 49,3% P","0,88","8,8","9,9","116","15,0","4:37","179","6:49","6:49","--","--"
"4","5:07,9","20:49","1,00","5:08","4:52","169","174","19","11","415","5.18","537","6.70","173","252","50,5% L / 49,5% P","1,14","9,6","8,3","89","14,0","4:05","192","5:07,9","5:08","--","--"
"5","6:00,2","26:49","1,00","6:00","4:42","171","175","62","5","440","5.49","533","6.65","168","273","50,5% L / 49,5% P","0,99","9,2","9,2","102","13,0","4:34","184","6:00","6:00","--","--"
"6","5:38,7","32:28","1,00","5:39","4:31","170","174","57","32","416","5.19","583","7.28","171","265","50,7% L / 49,3% P","1,05","8,9","8,4","96","12,0","3:52","216","5:38,7","5:39","--","--"
"7","7:57,2","40:25","1,00","7:57","4:46","171","174","120","2","437","5.45","511","6.38","162","304","50,4% L / 49,6% P","0,77","8,3","10,7","130","12,0","4:54","174","7:57","7:57","--","--"
"8","5:21,0","45:46","1,00","5:21","4:28","170","176","44","24","438","5.47","586","7.31","173","259","51,1% L / 48,9% P","1,07","9,3","8,7","91","11,0","3:32","188","5:21","5:21","--","--"
"9","4:28,2","50:14","1,00","4:28","4:30","169","173","21","59","390","4.87","588","7.34","176","243","51,1% L / 48,9% P","1,24","9,4","7,5","77","10,0","2:56","203","4:28","4:28","--","--"
"10","3:54,7","54:09","1,00","3:55","4:18","168","172","0","111","297","3.71","486","6.07","183","221","50,5% L / 49,5% P","1,39","9,2","6,4","68","10,0","3:29","235","3:54,7","3:55","--","--"
"11","3:51,9","58:01","1,00","3:52","4:16","167","169","0","82","334","4.17","492","6.14","179","227","50,8% L / 49,2% P","1,44","9,4","6,3","68","9,0","3:22","194","3:51,9","3:52","--","--"
"12","4:15,4","1:02:17","1,00","4:15","4:30","167","171","7","57","374","4.67","545","6.80","179","242","51,1% L / 48,9% P","1,30","8,9","6,7","73","10,0","3:12","198","4:15","4:15","--","--"
"13","3:24,1","1:05:41","1,00","3:24","3:42","169","173","0","68","389","4.85","465","5.80","185","199","51,0% L / 49,0% P","1,59","9,3","5,6","61","10,0","2:55","189","3:24,1","3:24","--","--"
"14","3:43,4","1:09:24","1,00","3:43","3:48","172","175","3","30","442","5.52","565","7.05","185","206","50,9% L / 49,1% P","1,47","9,0","5,9","67","10,0","3:16","190","3:43","3:43","--","--"
"15","0:05,8","1:09:30","0,02","4:25","3:53","172","174","0","0","545","6.80","568","7.09","184","212","51,5% L / 48,5% P","1,37","9,2","6,3","2","10,0","3:55","186","0:05","3:47","--","--"
"Podsumowanie","1:09:30","1:09:30","14,02","4:57","4:26","169","176","476","481","421","5.25","588","7.34","174","253","50,7% L / 49,3% P","1,15","9,2","8,1","1.191","12,2","2:55","235","1:09:27","4:57","--","--"
