"Okrążenia","Czas","Łączny czas","Dystansm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:15,1","5:15,1","1.000","5:15","--","130","136","0","0","369","4.64","447","5.62","178","250","49,5% L / 50,5% P","1,09","9,2","8,2","73","20,0","4:33","182","5:15","5:15","--","--"
"2","4:42,6","9:57,8","1.000","4:43","--","140","146","0","0","407","5.12","433","5.45","181","238","49,4% L / 50,6% P","1,19","9,2","7,6","73","18,0","4:23","183","4:42,6","4:43","--","--"
"3","4:06,7","14:04","1.000","4:07","--","157","162","0","0","461","5.80","483","6.08","184","217","50,0% L / 50,0% P","1,36","9,3","6,6","70","17,0","3:54","185","4:06,7","4:07","--","--"
"4","4:05,8","18:10","1.000","4:06","--","162","166","0","0","450","5.66","533","6.71","184","217","50,1% L / 49,9% P","1,34","9,1","6,5","71","16,0","3:42","186","4:05,8","4:06","--","--"
"5","4:08,2","22:18","1.000","4:08","--","164","167","0","0","450","5.66","499","6.28","184","216","50,4% L / 49,6% P","1,34","9,0","6,5","72","16,0","3:49","186","4:08","4:08","--","--"
"6","4:08,2","26:27","1.000","4:08","--","166","169","0","0","444","5.59","481","6.05","185","215","50,5% L / 49,5% P","1,32","8,8","6,5","72","16,0","3:55","186","4:08","4:08","--","--"
"7","3:59,3","30:26","1.000","3:59","--","170","173","0","0","453","5.70","481","6.05","186","210","50,6% L / 49,4% P","1,35","8,8","6,3","71","16,0","3:44","189","3:59","3:59","--","--"
"8","5:36,3","36:02","1.000","5:36","--","149","176","0","0","355","4.47","527","6.63","173","264","50,3% L / 49,7% P","1,05","9,2","8,5","79","17,0","3:44","188","5:36","5:36","--","--"
"9","5:21,0","41:23","1.000","5:21","--","145","147","0","0","363","4.57","380","4.78","174","257","50,1% L / 49,9% P","1,08","9,4","8,5","73","17,0","5:10","176","5:21,0","5:21","--","--"
"10","5:18,0","46:41","1.000","5:18","--","144","146","0","0","366","4.60","380","4.78","175","254","49,9% L / 50,1% P","1,08","9,4","8,5","71","18,0","5:09","177","5:18","5:18","--","--"
"11","5:08,4","51:50","1.000","5:08","--","144","147","0","0","377","4.74","449","5.65","176","251","50,1% L / 49,9% P","1,11","9,5","8,3","70","18,0","4:57","177","5:08","5:08","--","--"
"12","0:00,8","51:51","0","5:08","--","143","143","0","0","391","4.92","391","4.92","175","247","50,3% L / 49,7% P","1,16","9,6","8,1","0","18,0","0","175","0:00,8","0","--","--"
"Podsumowanie","51:51","51:51","11.000","4:43","--","151","176","0","0","403","5.07","533","6.71","179","238","50,1% L / 49,9% P","1,20","9,2","7,6","796","17,3","3:42","189","51:49","4:43","--","--"
