"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","11:03","11:03","2,00","5:31","5:35","121","150","8","14","171","263","50,0% L / 50,0% P","1,05","9,6","9,0","366","359","4.51","596","7.48","144","19,0","3:59","198","11:00","5:30"
"","1","Bieg","4","1:26,6","12:30","0,40","3:36","3:40","155","166","3","1","191","202","49,7% L / 50,3% P","1,42","8,5","5,9","497","526","6.60","638","8.01","26","17,0","3:19","194","1:26,6","3:36"
"","","Regeneracja","5","1:25","13:55","0,18","8:00","7:26","146","167","3","1","158","319","49,8% L / 50,2% P","0,81","8,2","10,0","388","289","3.63","659","8.27","21","16,0","3:38","191","1:23","7:48"
"","2","Bieg","6","1:24,3","15:19","0,40","3:31","3:41","153","164","0","5","190","196","49,8% L / 50,2% P","1,46","8,7","6,1","437","457","5.74","525","6.59","24","16,0","3:20","194","1:24","3:30"
"","","Regeneracja","7","1:25","16:44","0,18","7:56","7:16","141","163","0","0","158","316","50,0% L / 50,0% P","0,87","8,4","9,6","335","256","3.21","528","6.63","19","16,0","3:36","187","1:23","7:45"
"","3","Bieg","8","1:23,3","18:07","0,40","3:28","3:36","157","172","3","1","193","198","49,7% L / 50,3% P","1,44","8,2","5,8","498","530","6.65","638","8.01","24","15,0","3:15","197","1:23","3:28"
"","","Regeneracja","9","1:25","19:32","0,16","8:40","7:39","157","172","1","0","156","330","49,4% L / 50,6% P","0,81","7,6","9,4","379","261","3.28","632","7.93","22","15,0","3:32","190","1:23","8:28"
"","4","Bieg","10","1:24,7","20:57","0,40","3:32","3:45","153","164","1","5","188","203","49,8% L / 50,2% P","1,43","8,8","6,5","444","468","5.87","523","6.56","23","15,0","3:21","191","1:24,7","3:32"
"","","Regeneracja","11","1:25","22:22","0,17","8:15","8:01","144","165","0","1","157","322","49,9% L / 50,1% P","0,82","8,3","9,9","325","236","2.96","525","6.59","19","15,0","3:36","185","1:23","8:03"
"","5","Bieg","12","1:26,1","23:48","0,40","3:35","3:40","159","173","3","2","194","201","50,0% L / 50,0% P","1,41","8,0","5,8","483","514","6.45","591","7.42","25","14,0","3:16","197","1:26","3:35"
"","","Regeneracja","13","1:25","25:13","0,17","8:30","7:39","153","173","3","0","156","329","48,9% L / 51,1% P","0,81","7,6","9,3","390","272","3.41","622","7.81","21","14,0","3:42","191","1:23","8:18"
"","6","Bieg","14","1:24,8","26:38","0,40","3:32","3:47","156","165","0","7","189","200","49,9% L / 50,1% P","1,45","8,6","6,0","430","454","5.70","516","6.48","24","14,0","3:29","192","1:24,8","3:32"
"","","Regeneracja","15","1:25","28:03","0,17","8:25","7:48","146","166","1","1","156","325","49,5% L / 50,5% P","0,82","8,0","9,6","326","235","2.95","505","6.34","19","14,0","3:39","186","1:23","8:13"
"","7","Bieg","16","1:26,2","29:29","0,40","3:35","3:41","157","171","5","2","195","203","49,6% L / 50,4% P","1,40","7,8","5,6","495","525","6.59","602","7.56","25","14,0","3:33","200","1:26","3:35"
"","","Regeneracja","17","1:25","30:54","0,16","8:41","7:42","154","173","3","0","156","327","48,8% L / 51,2% P","0,82","7,5","9,0","372","255","3.20","620","7.78","21","14,0","3:38","194","1:23","8:29"
"","8","Bieg","18","1:25,3","32:19","0,40","3:33","3:49","155","167","0","4","189","202","49,6% L / 50,4% P","1,42","8,4","6,1","433","455","5.71","491","6.16","24","14,0","3:31","192","1:25","3:33"
"","","Regeneracja","19","1:25","33:44","0,17","8:21","7:38","148","169","0","1","157","322","49,3% L / 50,7% P","0,84","8,0","9,6","323","236","2.96","513","6.44","19","14,0","3:33","189","1:23","8:09"
"","9","Bieg","20","1:26,2","35:10","0,40","3:35","3:39","158","172","3","1","193","203","49,4% L / 50,6% P","1,39","8,0","5,9","494","529","6.64","605","7.59","25","14,0","3:25","196","1:26","3:35"
"","","Regeneracja","21","1:25","36:35","0,16","8:47","7:46","154","173","3","0","157","327","49,2% L / 50,8% P","0,80","7,5","9,4","378","263","3.30","621","7.79","21","14,0","3:37","191","1:23","8:35"
"","10","Bieg","22","1:23,5","37:59","0,40","3:29","3:44","157","169","0","5","191","198","49,5% L / 50,5% P","1,46","8,3","5,8","430","455","5.71","512","6.43","24","14,0","3:26","194","1:23,5","3:29"
"","","Regeneracja","23","1:25","39:24","0,17","8:17","7:48","148","168","0","1","157","323","49,5% L / 50,5% P","0,87","7,8","9,1","321","231","2.90","510","6.40","19","14,0","3:32","189","1:23","8:05"
"","11","Bieg","24","1:23,2","40:47","0,40","3:28","3:35","160","174","2","1","195","196","49,5% L / 50,5% P","1,42","7,9","5,7","492","525","6.59","574","7.20","24","14,0","3:23","199","1:23","3:28"
"","","Regeneracja","25","1:25","42:12","0,15","9:19","8:05","155","177","2","0","155","340","48,9% L / 51,1% P","0,78","7,1","9,2","374","241","3.03","624","7.83","21","14,0","3:28","191","1:23","9:06"
"","12","Bieg","26","1:24,0","43:36","0,40","3:30","3:39","158","167","0","5","192","196","49,4% L / 50,6% P","1,46","8,2","5,7","436","461","5.79","518","6.50","24","14,0","3:17","194","1:24,0","3:30"
"","","Schładzanie","27 - 28","9:28,0","53:04","1,46","6:30","6:24","135","167","10","6","166","285","50,2% L / 49,8% P","0,92","9,1","9,7","333","318","3.99","503","6.31","118","15,0","3:32","186","9:27","6:29"
"","Podsumowanie","--","--","53:04","53:04","10,10","5:15","5:15","143","177","61","64","173","265","49,7% L / 50,3% P","1,09","8,6","8,3","402","364","4.57","659","8.27","775","15,6","3:15","200","52:51","5:14"
