"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:11,7","5:11,7","1,00","5:12","5:10","122","143","14","21","382","4.69","517","6.34","173","246","51,3% L / 48,7% P","1,11","9,6","8,5","69","16,0","4:18","180","5:11,7","5:12","--","--"
"2","6:17,4","11:29","1,00","6:17","5:25","138","147","53","1","417","5.11","519","6.37","172","270","50,4% L / 49,6% P","0,92","8,7","9,3","91","14,0","5:27","177","6:17,4","6:17","--","--"
"3","6:40,5","18:10","1,00","6:40","5:44","137","145","56","0","400","4.91","460","5.64","172","273","50,3% L / 49,7% P","0,87","8,6","9,8","93","13,0","5:51","175","6:40","6:40","--","--"
"4","5:02,7","23:12","1,00","5:03","5:22","129","137","3","43","346","4.24","481","5.90","172","245","50,8% L / 49,2% P","1,14","10,1","8,7","64","12,0","4:25","176","5:02,7","5:03","--","--"
"5","4:49,7","28:02","1,00","4:50","5:05","128","133","0","37","359","4.40","396","4.86","173","238","50,7% L / 49,3% P","1,21","10,2","8,2","62","11,0","4:25","176","4:49,7","4:50","--","--"
"6","5:07,2","33:09","1,00","5:07","5:26","126","131","0","35","346","4.24","382","4.69","171","249","50,3% L / 49,7% P","1,14","10,1","8,6","63","10,0","4:48","174","5:07","5:07","--","--"
"7","5:25,3","38:34","1,00","5:25","5:34","128","141","4","19","358","4.39","498","6.11","170","255","50,3% L / 49,7% P","1,08","10,0","9,1","69","10,0","5:00","173","5:25","5:25","--","--"
"8","5:14,9","43:49","1,00","5:15","5:28","126","131","0","21","358","4.39","398","4.88","172","255","50,4% L / 49,6% P","1,11","10,0","8,8","65","9,0","4:46","176","5:14,9","5:15","--","--"
"9","5:21,7","49:11","1,00","5:22","5:32","128","133","0","15","359","4.40","424","5.20","171","259","50,1% L / 49,9% P","1,09","9,9","8,9","68","9,0","5:00","175","5:21,7","5:22","--","--"
"10","5:40,4","54:51","1,00","5:40","5:35","131","138","8","8","373","4.58","422","5.18","171","260","50,1% L / 49,9% P","1,04","9,8","9,2","74","9,0","5:02","174","5:40","5:40","--","--"
"11","5:38,3","1:00:30","1,00","5:38","5:32","135","141","15","4","382","4.69","444","5.45","173","259","50,2% L / 49,8% P","1,02","9,6","9,1","75","10,0","5:19","178","5:38","5:38","--","--"
"12","5:38,3","1:06:08","1,00","5:38","5:33","133","138","7","1","374","4.59","428","5.25","172","261","50,0% L / 50,0% P","1,03","9,8","9,2","74","10,0","5:12","175","5:38,3","5:38","--","--"
"13","5:50,2","1:11:58","1,00","5:50","5:37","135","138","16","0","381","4.67","425","5.21","172","266","50,0% L / 50,0% P","1,00","9,5","9,3","78","10,0","5:38","175","5:50","5:50","--","--"
"14","5:57,6","1:17:56","1,00","5:58","5:36","138","143","29","3","391","4.80","477","5.85","172","267","50,2% L / 49,8% P","0,97","9,3","9,4","78","10,0","4:42","175","5:57,6","5:58","--","--"
"15","0:02,2","1:17:58","0,01","3:45","4:58","141","141","0","2","349","4.28","362","4.44","172","242","50,5% L / 49,5% P","1,20","10,2","8,4","0","10,0","4:42","173","0:01","1:41","--","--"
"Podsumowanie","1:17:58","1:17:58","14,01","5:34","5:29","131","147","204","211","375","4.60","519","6.37","172","258","50,3% L / 49,7% P","1,04","9,6","9,1","1.022","11,0","4:18","180","1:17:55","5:34","--","--"
