"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:58,1","4:58,1","1,00","4:58","5:02","134","142","1","2","381","4.92","433","5.60","176","233","50,2% L / 49,8% P","1,14","9,8","8,7","69","26,0","4:36","185","4:58,1","4:58","",""
"2","4:56,2","9:54,3","1,00","4:56","4:55","142","148","2","0","384","4.96","409","5.29","178","229","50,3% L / 49,7% P","1,14","9,7","8,3","74","24,0","4:35","181","4:56","4:56","",""
"3","4:57,9","14:52","1,00","4:58","4:57","144","148","6","2","381","4.92","420","5.43","178","230","50,3% L / 49,8% P","1,13","9,7","8,4","74","22,0","4:49","183","4:57,9","4:58","",""
"4","5:02,4","19:55","1,00","5:02","4:58","146","150","5","1","381","4.92","469","6.06","177","232","50,4% L / 49,6% P","1,12","9,8","8,5","75","21,0","4:41","180","5:02","5:02","",""
"5","5:00,4","24:55","1,00","5:00","5:01","145","149","2","0","373","4.82","414","5.35","177","230","50,5% L / 49,5% P","1,12","9,9","8,6","74","20,0","4:44","183","5:00,4","5:00","",""
"6","4:59,1","29:54","1,00","4:59","4:59","145","149","1","3","375","4.85","410","5.30","176","231","50,6% L / 49,4% P","1,15","10,1","8,6","72","22,0","4:50","178","4:59","4:59","",""
"7","5:01,6","34:56","1,00","5:02","5:05","145","150","0","3","369","4.77","393","5.08","175","233","50,7% L / 49,3% P","1,14","10,1","8,7","72","21,0","4:52","178","5:01,6","5:02","",""
"8","5:02,1","39:58","1,00","5:02","5:03","144","149","1","5","372","4.81","406","5.25","175","234","50,6% L / 49,4% P","1,14","10,2","8,7","70","22,0","4:49","178","5:02","5:02","",""
"9","5:07,5","45:05","1,00","5:08","5:08","144","149","1","3","366","4.73","392","5.07","173","237","50,6% L / 49,4% P","1,14","10,3","8,9","71","22,0","4:55","175","5:07","5:07","",""
"10","5:09,0","50:14","1,00","5:09","5:05","147","153","3","0","385","4.98","414","5.35","173","238","50,6% L / 49,4% P","1,13","10,3","8,9","74","23,0","4:57","176","5:09,0","5:09","",""
"11","5:10,3","55:25","1,00","5:10","5:10","147","150","4","2","377","4.87","406","5.25","174","239","50,6% L / 49,4% P","1,11","10,1","8,9","73","23,0","4:53","177","5:10","5:10","",""
"12","5:11,6","1:00:36","1,00","5:12","5:11","146","151","4","1","374","4.83","416","5.38","174","238","50,6% L / 49,4% P","1,10","10,1","8,9","73","22,0","5:01","181","5:11,6","5:12","",""
"13","5:09,6","1:05:46","1,00","5:10","5:05","149","153","6","1","380","4.91","474","6.13","174","240","50,8% L / 49,3% P","1,11","10,0","8,8","74","22,0","5:01","177","5:09,6","5:10","",""
"14","5:11,5","1:10:57","1,00","5:12","5:12","146","148","1","0","366","4.73","453","5.85","174","240","50,6% L / 49,4% P","1,11","10,1","8,9","71","22,0","4:54","177","5:11","5:11","",""
"15","5:04,5","1:16:02","1,00","5:05","5:06","147","150","0","4","371","4.79","398","5.14","173","239","50,6% L / 49,4% P","1,14","10,2","8,8","70","23,0","4:53","176","5:04,5","5:05","",""
"16","5:08,6","1:21:10","1,00","5:09","5:12","147","153","0","3","366","4.73","424","5.48","173","241","50,6% L / 49,4% P","1,12","10,3","8,9","71","23,0","4:58","191","5:08","5:08","",""
"17","5:03,0","1:26:13","1,00","5:03","5:05","148","154","0","6","372","4.81","408","5.27","173","238","50,5% L / 49,5% P","1,15","10,3","8,7","70","23,0","4:57","176","5:03","5:03","",""
"18","5:12,4","1:31:26","1,00","5:12","5:15","148","151","0","2","359","4.64","384","4.96","173","242","50,7% L / 49,3% P","1,11","10,2","8,9","71","23,0","5:05","177","5:12,4","5:12","",""
"19","0:01,3","1:31:27","0,01","3:13","4:58","148","148","0","0","391","5.05","391","5.05","170","250","50,5% L / 49,5% P","1,16","10,3","8,5","0","23,0","5:05","170","0:01","2:31","",""
"Podsumowanie","1:31:27","1:31:27","18,01","5:05","5:05","145","154","38","40","374","4.83","474","6.13","175","236","50,5% L / 49,5% P","1,13","10,1","8,7","1.300","22,4","4:35","191","1:31:24","5:05","",""
