"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","9:30,1","9:30,1","2.000","4:45","137","146","0","0","172","233","49,7% L / 50,3% P","1,22","10,7","8,5","402","400","5.17","496","6.41","138","29,0","4:31","176","9:28","4:44"
"","1","Bieg","4 - 5","5:40,8","15:11","1.500","3:47","163","170","0","0","185","200","50,2% L / 49,8% P","1,43","9,5","6,4","469","471","6.08","514","6.64","98","26,0","3:36","188","5:40,8","3:47"
"","","Regeneracja","6","2:53,5","18:04","500","5:47","147","169","0","0","167","258","50,2% L / 49,8% P","1,08","10,3","9,4","366","347","4.48","505","6.52","40","26,0","3:45","186","2:52","5:44"
"","2","Bieg","7 - 8","5:42,7","23:47","1.500","3:48","168","175","0","0","190","200","50,1% L / 49,9% P","1,37","8,8","6,3","459","463","5.98","519","6.70","100","25,0","3:33","195","5:42","3:48"
"","","Regeneracja","9","3:17,1","27:04","500","6:34","147","173","0","0","165","282","50,0% L / 50,0% P","0,95","9,6","10,0","330","309","3.99","487","6.29","43","26,0","3:50","189","3:16","6:32"
"","3","Bieg","10 - 11","4:08,9","31:13","1.000","4:09","163","168","0","0","185","209","49,7% L / 50,3% P","1,30","9,2","6,9","432","436","5.63","481","6.21","70","25,0","3:53","187","4:07","4:07"
"","","Regeneracja","12","3:18,3","34:31","500","6:37","143","167","0","0","164","284","50,3% L / 49,7% P","0,95","9,6","10,0","323","308","3.98","471","6.08","40","26,0","4:15","184","3:18","6:36"
"","4","Bieg","13 - 14","4:06,6","38:38","1.000","4:07","164","170","0","0","186","207","49,7% L / 50,3% P","1,29","9,0","6,8","430","433","5.59","472","6.10","70","26,0","3:55","188","4:05","4:05"
"","","Regeneracja","15","3:04,5","41:43","500","6:09","147","169","0","0","168","267","50,5% L / 49,5% P","0,96","9,6","9,8","327","317","4.09","466","6.02","41","26,0","4:12","187","3:04,5","6:09"
"","","Schładzanie","16 - 17","5:44,3","47:27","1.000","5:44","144","148","0","0","169","255","50,5% L / 49,5% P","1,04","10,0","9,4","343","341","4.40","410","5.30","73","27,0","5:18","173","5:43","5:43"
"","Podsumowanie","--","--","47:27","47:27","10.000","4:45","151","175","0","0","176","234","50,0% L / 50,0% P","1,19","9,7","8,2","407","393","5.08","519","6.70","714","26,4","3:33","195","47:23","4:44"
