"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:00,0","4:00,0","1,00","4:00","3:57","152","166","7","4","472","6.03","624","7.98","170","208","49,1% L / 50,9% P","1,39","10,3","7,1","67","19,0","3:49","183","4:00,0","4:00","",""
"2","3:55,2","7:55,2","1,00","3:55","3:58","160","165","1","9","507","6.48","569","7.27","180","207","50,1% L / 49,9% P","1,42","10,2","6,9","68","17,0","3:51","183","3:55","3:55","",""
"3","4:00,0","11:55","1,00","4:00","3:55","164","168","4","0","494","6.31","547","6.99","180","209","50,4% L / 49,6% P","1,39","10,1","7,0","71","17,0","3:43","181","4:00","4:00","",""
"4","3:56,3","15:52","1,00","3:56","3:56","167","171","5","1","518","6.62","570","7.29","181","206","50,5% L / 49,5% P","1,40","10,0","6,9","71","16,0","3:42","185","3:56","3:56","",""
"5","3:57,8","19:49","1,00","3:58","3:55","167","171","5","1","526","6.72","590","7.54","182","209","50,3% L / 49,7% P","1,39","9,8","6,8","72","16,0","3:53","184","3:57,8","3:58","",""
"6","3:55,4","23:45","1,00","3:55","3:59","167","172","1","2","465","5.94","519","6.63","182","207","50,5% L / 49,5% P","1,40","9,8","6,8","71","15,0","3:53","184","3:55","3:55","",""
"7","3:55,8","27:41","1,00","3:56","3:55","168","172","1","5","508","6.49","611","7.81","182","208","50,5% L / 49,5% P","1,40","9,6","6,7","71","15,0","3:31","186","3:55,8","3:56","",""
"8","4:00,9","31:41","1,00","4:01","4:00","169","172","1","1","474","6.06","544","6.95","182","208","50,4% L / 49,6% P","1,38","9,6","6,7","73","15,0","3:51","185","4:00,9","4:01","",""
"9","3:59,7","35:41","1,00","4:00","4:01","170","173","1","2","506","6.47","544","6.95","183","208","50,0% L / 50,0% P","1,36","9,3","6,7","73","15,0","3:53","187","3:59,7","4:00","",""
"10","4:00,1","39:41","1,00","4:00","4:01","170","173","4","2","482","6.16","538","6.88","182","208","50,2% L / 49,8% P","1,37","9,5","6,7","73","15,0","3:39","185","4:00","4:00","",""
"11","3:57,8","43:39","1,00","3:58","3:58","169","173","1","3","440","5.62","516","6.60","184","207","50,3% L / 49,7% P","1,37","9,2","6,5","72","15,0","3:46","187","3:57,8","3:58","",""
"12","4:00,1","47:39","1,00","4:00","4:00","169","172","0","0","437","5.59","482","6.16","184","209","50,2% L / 49,8% P","1,36","9,2","6,6","73","15,0","3:57","192","4:00","4:00","",""
"13","3:59,7","51:39","1,00","4:00","3:59","170","174","4","4","440","5.62","544","6.95","185","209","49,9% L / 50,1% P","1,36","9,1","6,4","73","16,0","3:49","187","3:59","3:59","",""
"14","4:05,0","55:44","1,00","4:05","4:03","170","173","5","3","443","5.66","533","6.81","184","213","49,9% L / 50,1% P","1,33","9,1","6,6","74","15,0","3:53","187","4:05,0","4:05","",""
"15","4:25,2","1:00:09","1,00","4:25","4:26","163","171","0","7","390","4.99","530","6.77","180","224","50,3% L / 49,7% P","1,27","9,1","7,0","75","16,0","3:59","185","4:25,2","4:25","",""
"16","4:25,1","1:04:34","1,00","4:25","4:28","161","166","3","2","397","5.07","509","6.51","180","225","50,2% L / 49,8% P","1,24","8,9","7,0","73","16,0","4:08","185","4:25","4:25","",""
"17","4:21,8","1:08:56","1,00","4:22","4:18","164","168","2","2","409","5.23","465","5.94","182","226","50,2% L / 49,8% P","1,27","8,8","6,8","74","16,0","4:05","185","4:21,8","4:22","",""
"18","4:25,8","1:13:22","1,00","4:26","4:23","165","171","8","2","423","5.41","540","6.90","182","229","49,9% L / 50,1% P","1,24","8,8","6,9","75","15,0","4:12","185","4:25","4:25","",""
"19","4:26,7","1:17:48","1,00","4:27","4:29","161","168","1","8","400","5.11","481","6.15","180","227","50,1% L / 49,9% P","1,26","9,0","6,9","73","15,0","4:13","186","4:26,7","4:27","",""
"20","4:22,3","1:22:11","1,00","4:22","4:24","162","168","7","9","406","5.19","470","6.01","181","227","49,9% L / 50,1% P","1,26","8,8","6,8","73","16,0","3:57","185","4:22","4:22","",""
"21","4:13,8","1:26:25","1,00","4:14","4:13","168","171","2","0","435","5.56","482","6.16","182","226","50,3% L / 49,7% P","1,30","8,8","6,5","74","15,0","4:02","186","4:13,8","4:14","",""
"22","0:46,9","1:27:12","0,17","4:34","4:09","168","169","0","1","431","5.51","451","5.77","183","226","50,0% L / 50,0% P","1,31","8,9","6,6","14","16,0","4:05","185","0:46","4:28","",""
"Podsumowanie","1:27:12","1:27:12","21,17","4:07","4:07","166","174","66","68","454","5.80","624","7.98","181","215","50,2% L / 49,8% P","1,34","9,4","6,8","1.531","15,7","3:31","192","1:27:08","4:07","",""
