Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Suma kalorii,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średnia kadencja biegu,Maksymalna kadencja biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Średni czas kontaktu z podłożem,Średni bilans CKP,Średni GAP,Normalized Power® (NP®),Training Stress Score® (TSS®),Średnia moc,Maksymalna moc,Kroki,Minimalna temperatura,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Średnia częstotliwość oddechu,Minimalna częstotliwość oddechu,Maksymalna częstotliwość oddechu,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieg lekkoatletyczny,2025-10-05 10:24:47,false,"Mszana Dolna Bieg lekkoatletyczny","10.010","706","00:44:57","150","169","3,8","179","191","4:29","3:47","--","--","1,24","7,6","9,6","229","49,9% L / 50,1% P","--","421","0,0","414","538","7.970","14,0","Nie","00:00:00,8","11","22,0","37","24","48","00:44:56","00:44:57","393","396"
Bieganie,2025-10-04 09:45:08,false,"Myślenice Bieganie","20,01","1.432","01:34:50","146","170","4,3","181","195","4:44","3:48","45","47","1,16","7,8","9,2","229","50,1% L / 49,9% P","4:45","390","0,0","387","488","16.996","10,0","Nie","00:00:01,3","21","19,0","37","20","50","01:34:47","01:34:50","278","297"
Bieganie,2025-10-03 16:06:04,false,"Wiśniowa Bieganie","6,10","433","00:34:15","123","134","2,3","175","182","5:37","4:58","56","59","1,02","9,0","9,4","250","50,0% L / 50,0% P","5:35","349","0,0","348","444","5.944","15,0","Nie","00:00:43,9","7","25,0","33","15","50","00:34:14","00:34:15","318","376"
Bieganie,2025-10-02 16:15:49,false,"Myślenice - Baza przebieżki","18,21","1.297","01:28:42","142","158","3,8","176","207","4:52","2:56","41","43","1,16","8,2","9,7","240","50,3% L / 49,7% P","4:54","395","0,0","393","640","15.460","11,0","Nie","00:00:01,4","27","22,0","34","23","41","01:28:36","01:28:42","275","293"
Bieganie,2025-10-01 15:49:38,false,"Wiśniowa Bieganie","10,51","740","00:56:46","129","146","2,9","176","183","5:24","4:33","122","125","1,05","8,9","9,5","245","50,0% L / 50,0% P","5:21","365","0,0","364","489","9.894","13,0","Nie","00:02:38,5","11","23,0","34","13","52","00:56:44","00:56:46","302","412"
Bieganie,2025-09-30 16:18:23,false,"Myślenice - Trening interwał 1,5km","15,01","1.073","01:09:05","148","168","4,1","180","192","4:36","3:37","30","34","1,20","7,7","9,2","232","50,1% L / 49,9% P","4:36","418","0,0","406","582","12.324","12,0","Nie","00:00:00,7","23","23,0","38","18","49","01:08:57","01:09:05","276","291"
Bieganie,2025-09-28 15:49:49,false,"Myślenice Bieganie","19,01","1.350","01:31:11","146","172","4,0","175","192","4:48","3:43","46","48","1,19","8,2","10,0","236","50,5% L / 49,5% P","4:48","400","0,0","397","555","15.784","15,0","Nie","00:00:01,4","20","24,0","33","19","45","01:31:08","01:31:11","277","295"
Bieganie,2025-09-27 10:12:32,false,"Wiśniowa Bieganie","6,00","452","00:33:22","133","142","2,6","174","180","5:33","4:47","35","39","1,04","9,1","9,6","256","50,2% L / 49,8% P","5:33","352","0,0","351","441","5.746","18,0","Nie","00:00:00,7","7","27,0","39","24","46","00:33:21","00:33:22","305","343"
Bieganie,2025-09-26 16:07:45,false,"Mszana Dolna - Trening interwałowy 1k","13,56","958","01:01:54","150","174","4,1","180","199","4:34","3:30","79","78","1,21","7,8","9,5","234","49,9% L / 50,1% P","4:32","444","0,0","426","707","11.030","12,0","Nie","00:00:01,2","21","24,0","36","22","46","01:01:44","01:01:54","374","390"
Bieganie,2025-09-25 16:18:09,false,"Myślenice Bieganie","13,01","920","01:03:34","140","148","3,4","181","190","4:53","4:26","19","26","1,13","8,1","9,4","233","49,8% L / 50,2% P","4:54","395","0,0","393","482","11.388","13,0","Nie","00:00:00,8","14","24,0","35","15","42","01:03:32","01:03:34","272","291"
